number,Locality,Latin_Binomial,genus,Family,Trunk.diameter..cm.,Total.height..m.,Dry.weight.branch..kg.,Dry.weight.trunk..kg.,Dry.weight.leaf..kg.,Dry.total.AGB..kg.,Wood.specific.gravity,wsg.taxolevel,wsg.comment,f,taxolevel,,
1,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,5.233400174,NA,NA,NA,NA,4.58,1.04,species,dryad.values,,species,,
2,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,5.771057351,NA,NA,NA,NA,7.33,1.04,species,dryad.values,,species,,
3,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,5.906285236,NA,NA,NA,NA,5.45,1.04,species,dryad.values,,species,,
4,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,5.936763603,NA,NA,NA,NA,8.27,1.04,species,dryad.values,,species,,
5,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,6.4,5.0,0.83,5.96,0.28,7.07,1.04,species,dryad.values,0.0333,species,,
6,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,7.3,5.0,1.73,8.12,0.45,10.30,1.04,species,dryad.values,0.0373,species,,
7,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,7.8,5.5,1.74,11.30,0.86,13.90,1.04,species,dryad.values,0.0400,species,,
8,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,9.2,7.6,2.09,15.61,0.91,18.61,1.04,species,dryad.values,0.0279,species,,
9,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,9.362186305,NA,NA,NA,NA,19.71,1.04,species,dryad.values,,species,,
10,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,9.9,8.2,6.38,22.73,1.86,30.97,1.04,species,dryad.values,0.0372,species,,
11,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,11.8,8.7,10.46,31.95,4.03,46.44,1.04,species,dryad.values,0.0370,species,,
12,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,14.2,9.5,46.39,56.15,7.60,110.14,1.04,species,dryad.values,0.0554,species,,
13,Australia,Erythrophleum_chlorostachys,Erythrophleum,Fabaceae,14.7,8.6,24.72,45.41,4.38,74.51,1.04,species,dryad.values,0.0387,species,,
