,dataset,Locality,fulllocality,LAT,LONG,Temp.Seasonality..SD.100.,Precip.Seasonality..CV.,CWD
1,Chave05,Australia,Australia,-12.483,131.05,1672.4452,104.3644,-1074.47499
2,Chave05,BraMan1,Brazil_Amazonas1,-2.5,-60.167,431.69,33.254,-38.74632298
3,Chave05,BraMan2,Brazil_Amazonas2,-2.5,-60.167,431.69,33.254,-38.74632298
4,Chave05,BraPara1,Brazil_Para1,-2.5,-48.133,257.428,69.5,-284.1374183
5,Chave05,BraPara3,Brazil_Para3,-1.367,-48.283,312.333536,53.910064,-175.046146
6,Chave05,BraRond,Brazil_Rondonia,-8.75,-63.383,587.466,63,-226.7573333
7,Chave05,Cambodia,Cambodia,10.933,103.4,690.114,85.9,-402.5996723
8,Chave10,Cameroon,Cameroon1,2.667,10,779.628,59,-70.06353433
9,Chave10,Cameroon2,Cameroon2,3.33,14,548.5,50.5,-183.6682601
10,Chave10,Cameroon3,Cameroon3,3.94,14.81,625.0952,46.94,-201.9948091
11,Chave10,CentralAfric,DemRep_Congo,0.763,24.46,479.17296,28.812,-69.91566667
12,Chave05,Colombia,Colombia1,-0.633,-72.367,692.88528,28.094864,-11.94453067
13,Chave10,ColombiaC1,ColombiaC1,4.773123457,-77.18366613,286.9025093,20.90798712,0
14,Chave10,ColombiaG1,ColombiaG1,1.644592593,-78.84465378,325.9342356,45.74191295,-9.98994047
15,Chave10,ColombiaG2,ColombiaG2,4.708486111,-77.18362138,300.2600834,20.95311524,0
16,Chave10,ColombiaM1,ColombiaM1,1.636533333,-78.89019831,331.1828245,45.96981431,-19.61635978
17,Chave10,ColombiaM2,ColombiaM2,4.696583333,-77.26302013,325.0104579,21.95912132,0
18,Chave05,CostaRic,CostaRica1,10.433,-83.983,750.950576,29.609936,0
19,Chave10,CostaRic2,CostaRica2,10.483,-84.01,733.5436,29.42008,0
20,Chave05,FrenchGu,FrenchGuiana,5.3,-53.5,541.75,40.5,-102.675
21,Chave10,Gabon,Gabon,0.95,13.16666667,890.1499993,56.49999992,-114.5585715
22,Chave10,Ghana,Ghana,5.5,-2.667,991.302,58.008,-188.0013124
23,Chave05,IndiaCha,India_dry,25.05,83.21,5827.82,132,-921.9384895
24,Chave10,Jalisco,Mexico_Jalisco,19.5,-105.03,1630.25,110.17,-887.0848057
25,Chave05,Jamaica,Jamaica,18.083,-76.65,1123.116,48.608,-66.7776908
26,Chave05,Kaliman1,Indonesia_Kalimantan1,-0.4,116.45,202.87,28.63,-43.17399321
27,Chave05,Kaliman2,Indonesia_Kalimantan2,-1.083,116.967,262.694112,20.016,0
28,Chave10,Kaliman3,Indonesia_Kalimantan3,1.95,117.083,204.1648,12.8524,0
29,Chave10,Kaliman4,Indonesia_Kalimantan4,1.95,117.083,204.1648,12.8524,0
30,Chave10,Kaliman5,Kalimantan,-1.083,116.967,262.694112,20.016,0
31,Chave10,Karnataka,India_Karnataka,13.83,74.95,1392.45,149.768,-795.7156676
32,Chave05,Llanosec,Venezuela_Llanos1,7.433,-70.917,481.883904,67,-446.2678937
33,Chave05,Llanosol,Venezuela_Llanos2,7.433,-70.917,481.883904,67,-446.2678937
34,Chave10,Madagascar1,Madagascar1,-14.454,49.046,2109.47568,91.552816,-484.1475921
35,Chave10,Madagascar2,Madagascar2,-20.454,47.601,2589.891632,74,-171.2138308
36,Chave10,Madagascar3,Madagascar3,-24.955,45.233,3026.42768,83.92272,-920.2335777
37,Chave10,Madagascar4,Madagascar4,-24.475,46.9,2493.67,65.65,-295.1533562
38,Chave10,Madagascar5,Madagascar5,-22.439,46.99,2555.2,84.73064,-359.0229825
39,Chave05,Malaysia,Malaysia,2.983,102.317,475.718576,29.901936,-28.72562391
40,Chave10,Malaysia2,Malaysia2,2.983,102.317,475.718576,29.901936,-28.72562391
41,Chave05,MFrenchG,FrenchGuiana_M,4.866666667,-52.31666667,558.6600002,51.60000002,-147.0451597
42,Chave05,MGuadel,Guadeloupe_M,16.27,-61.57,1225.2728,41.2,-320.3917569
43,Chave10,Moluccas,Indonesia_Moluccas,-3.05,129.433,733.7676,29.0756,0
44,Chave10,Mozambique,Mozambique,-18.967,34.167,2704.435664,88.708,-673.964706
