Plot,DBH,H
Plot1,11.5,12
Plot1,11.6,16
Plot1,83.9,40
Plot1,15,18
Plot1,36.8,27
Plot1,13.5,20
Plot1,17.8,24
Plot1,17.8,21
Plot1,15.9,22
Plot1,17.8,24
Plot1,11.8,18
Plot1,16.4,19
Plot1,11.5,14
Plot1,20.5,23
Plot1,16.6,20
Plot1,11.5,18
Plot1,11.1,15
Plot1,31,28
Plot1,11.5,18
Plot1,13.7,23
Plot1,28.3,27
Plot1,29.3,26
Plot1,11.1,13
Plot1,54.1,33
Plot1,11.8,8
Plot1,10.2,11
Plot1,11.8,15
Plot1,14.6,16
Plot1,25.1,26
Plot1,11,12
Plot1,16.2,18
Plot1,11.9,21
Plot1,26.1,22
Plot1,12.7,13
Plot1,18.5,20
Plot1,12.9,13
Plot1,25.6,23
Plot1,14.5,8
Plot1,21.2,23
Plot1,15.3,18
Plot1,47.7,34
Plot1,10,11
Plot1,76.4,37
Plot1,43.9,32
Plot1,21,24
Plot1,21.6,25
Plot1,11.3,17
Plot1,38.4,30
Plot1,16.4,18
Plot1,11.8,13
Plot1,15.4,17
Plot1,22.8,17
Plot1,15.3,17
Plot1,10.3,6
Plot1,15,19
Plot1,25.5,26
Plot1,20.4,24
Plot1,10.5,15
Plot1,19.7,22
Plot1,10.7,14
Plot1,10,12
Plot1,29.1,24
Plot1,10.5,14
Plot1,11.5,16
Plot1,43,30
Plot1,10.5,13
Plot1,15,16
Plot1,19.9,25
Plot1,10.8,11
Plot1,10.2,16
Plot1,31.4,31
Plot1,32.5,33
Plot1,15.8,16
Plot1,13.1,22
Plot1,21.6,26
Plot1,12.7,27
Plot1,20.7,21
Plot1,15.3,20
Plot1,18.1,21
Plot1,11.6,21
Plot1,29,26
Plot1,27.1,33
Plot1,45.2,32
Plot1,14.3,6
Plot1,29.9,33
Plot1,10.2,12
Plot1,10.2,18
Plot1,11,17.5
Plot1,11.9,19
Plot1,36.4,31
Plot1,27.4,29
Plot1,24.8,31
Plot1,22,21
Plot1,70,41
Plot1,25,27
Plot1,26.9,23
Plot1,75.4,32
Plot1,11.5,14
Plot1,18.1,23
Plot1,13.4,26
Plot1,39.3,29
Plot1,10.2,18
Plot1,19.1,21.5
Plot1,28.5,23
Plot1,13.1,17
Plot1,21,22
Plot1,13.4,19
Plot1,26.6,22
Plot1,10.5,11
Plot1,25.6,18
Plot1,16.2,20.5
Plot1,17.2,23
Plot1,11.1,15
Plot1,11.1,17
Plot1,15.3,16
Plot1,13.8,21
Plot1,18.1,22
Plot1,41.4,23
Plot1,14.5,17
