PlotID	ForestDiv	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP1	Sirsi	14.36806	74.91944	575	12	40	1	2481	6	DDD	S10	3	2
BSP10	Yellapur	14.94722	74.69861	570	21	50	3	2706	6	PDH	S10	1	2
BSP100	Chikkamagalur	13.54722	75.82	780	10	10	1	1147	6	ATT	S13	3	NA
BSP101	Shimoga	13.72639	75.43444	650	20	50	2	2243	6	LTD	S4	3	NA
BSP102	Sagar	13.92361	74.88833	570	25	80	3	5107	6	DDD+P	S7	2	1
BSP104	Shimoga	13.87	74.90917	695	30	75	4	5419	6	DDD+P	S6	1	1
BSP11	Yellapur	14.92083	74.70694	564	14	45	2	2791	6	PDH	S11	1	1
BSP12	Yellapur	14.98611	74.68472	545	20	75	3	2635	6	PDH	S10	1	1
BSP13	Karwar	14.91389	74.25278	148	15	30	2	4362	6	PDH	S3	3	2
BSP14	Karwar	14.905	74.30667	141	15	30	2	4642	6	PDH	S2	3	3
BSP15	Karwar	14.92639	74.20417	150	20	60	4	4107	6	PDH	S3	1	2
BSP16	Karwar	14.90972	74.25278	90	18	60	3	4362	6	PDH	S3	1	1
BSP17	Karwar	14.91528	74.30667	100	22	65	3	4642	6	PDH	S2	3	3
BSP18	Karwar	14.93056	74.20417	200	20	65	3	4107	6	PDH	S3	1	2
BSP2	Sirsi	14.375	74.94028	587	5	0	1	2220	6	DDD	S10	3	3
BSP20	Haliyal	15.17222	74.67361	453	22	60	3	1215	6	LTD	S8	2	NA
BSP21	Haliyal	15.17167	74.67222	450	23	45	3	1215	6	LTD	S8	2	NA
BSP22	Haliyal	15.16667	74.64722	496	20	40	3	1419	6	LTD	S8	2	NA
BSP23	Haliyal	15.1875	74.64861	510	22	40	2	1318	6	LTD	S8	2	NA
BSP24	Haliyal	15.20333	74.64722	500	25	75	3	1314	6	LTD	S8	2	NA
BSP25	Haliyal	15.16667	74.62778	507	20	50	2	1456	6	LTD	S8	2	NA
BSP26	Honnavar	14.24639	74.66528	110	22	65	3	4661	6	PDH	S2	1	2
BSP27	Honnavar	14.24444	74.61306	135	25	50	3	4468	6	PDH	S2	1	1
BSP28	Honnavar	14.24944	74.63667	90	18	5	2	4550	6	PDH	S2	3	1
BSP29	Honnavar	14.24972	74.66194	290	25	70	4	4628	6	PDH	S2	1	1
BSP3	Sirsi	14.39167	74.94861	560	18	40	2	2257	6	DDD	S10	3	3
BSP30	Honnavar	14.24528	74.66806	140	22	60	3	4661	6	PDH	S2	1	1
BSP31	Honnavar	14.25361	74.66944	310	18	55	2	4661	6	PDH	S2	1	2
BSP33	Shimoga	14.38194	75.145	590	8	10	1	1400	6	LTD	S10	2	NA
BSP34	Shimoga	14.28333	75.11806	620	22	35	2	1596	6	KAN	S10	2	3
BSP35	Shimoga	14.28389	75.13583	630	25	65	3	1589	6	KAN	S10	2	3
BSP36	Shimoga	14.28194	75.11694	620	28	55	3	1596	6	KAN	S10	1	1
BSP37	Shimoga	14.46222	75.07361	630	25	70	4	1623	6	KAN	S10	1	1
BSP4	Sirsi	14.425	74.87222	628	15	40	2	2967	6	DDD	S10	3	3
BSP41	Sagar	14.37833	75.06806	600	18	50	2	1729	6	KAN	S10	1	2
BSP42	Sagar	14.35417	75.10139	620	22	60	3	1525	6	KAN	S10	1	1
BSP43	Sagar	14.28722	75.08611	620	13	60	3	1779	6	KAN	S10	2	2
BSP44	Sagar	14.31333	75.20222	660	8	20	2	1308	6	LTD	S10	2	NA
BSP45	Sagar	14.28	75.09417	640	8	40	2	1680	6	KAN	S10	2	3
BSP46	Sagar	14.40694	75.30222	660	6	5	1	973	6	ATT	S4	3	NA
BSP47	Sagar	14.44583	75.30806	660	8	3	1	1046	6	ATT	S4	3	NA
BSP48	Sagar	14.34861	75.17222	640	6	7	1	1374	6	LTD	S10	3	NA
BSP49	Sagar	14.40056	75.15139	600	9	15	1	1412	6	LTD	S10	3	NA
BSP5	Sirsi	14.38889	75.02778	573	22	45	3	1833	6	KAN	S10	1	1
BSP50	Sagar	14.33083	75.20583	640	11	13	2	1281	6	LTD	S10	3	NA
BSP51	Sagar	14.32694	75.19667	620	13	25	2	1281	6	LTD	S10	3	NA
BSP52	Sagar	14.19444	75.06167	600	15	10	1	1911	6	KAN	S10	3	2
BSP53	Sagar	14.15944	75.06444	580	20	20	2	1897	6	KAN	S10	3	3
BSP54	Shimoga	14.07639	75.26667	680	25	60	3	1695	6	LTD	S11	2	NA
BSP55	Shimoga	14.0875	75.28639	700	20	50	2	1612	6	LTD	S4	2	NA
BSP56	Sagar	14.32278	75.2875	620	4	0	1	981	6	ATT	S11	3	NA
BSP57	Sagar	14.065	75.02083	600	12	60	2	2498	5	DDD	S7	3	3
BSP58	Sagar	14.02167	75.18861	620	15	20	2	2426	5	KAN	S7	3	3
BSP59	Shimoga	13.86333	75.39111	720	18	60	3	1537	6	DP	S4	1	2
BSP6	Sirsi	14.43056	74.79444	500	25	80	4	4240	6	DDD	S8	1	1
BSP60	Shimoga	14.21028	75.40361	720	8	10	1	952	7	ATT	S11	3	NA
BSP61	Shimoga	14.00111	75.58	620	5	0	1	832	6	ATT	S4	3	NA
BSP62	Shimoga	14.18889	75.42167	660	15	40	2	937	6	ATT	S13	2	NA
BSP63	Shimoga	14.06667	75.54389	660	6	0	1	776	7	ATT	S10	3	NA
BSP64	Shimoga	14.08278	75.2025	640	15	40	2	1937	6	LTD	S13	3	NA
BSP65	Kalasa	13.25222	75.16	1040	25	50	3	4326	4	PPH	S3	1	1
BSP66	Kalasa	13.25	75.1625	1060	22	60	4	4326	4	PPH	S3	1	1
BSP67	Kalasa	13.23278	75.17917	940	10	40	2	4205	4	PPH	S4	1	1
BSP68	Kalasa	13.22833	75.18	920	7	30	2	4205	4	PPH	S4	3	1
BSP69	Shimoga	13.53611	75.09944	650	22	65	3	7108	5	DHP	S4	1	1
BSP7	Yellapur	14.94861	74.70972	560	20	35	3	2706	6	PDH	S10	2	3
BSP70	Koppa	13.41806	75.22361	710	23	60	3	4175	5	DHP	S7	1	1
BSP71	Shimoga	13.50583	75.10778	660	12	4	2	6591	5	DHP	S4	3	1
BSP72	Koppa	13.50278	75.21667	661	20	30	2	3393	5	DHP	S7	3	1
BSP73	Shimoga	13.52361	75.07389	640	25	30	3	7468	5	DHP	S4	1	1
BSP74	Shimoga	13.50361	75.01556	683	35	75	4	5776	5	DHP	S2	1	1
BSP75	Sagar	13.71556	74.99861	610	30	65	4	7943	5	DDD+P	S7	1	1
BSP76	Sagar	13.72917	75.03278	580	28	50	4	8340	5	DHP	S7	2	1
BSP78	Sirsi	14.23	74.84361	640	6	0	1	3988	6	DDD	S10	3	1
BSP79	Sirsi	14.25278	74.7875	555	20	40	3	4891	6	DDD	S10	1	1
BSP8	Yellapur	14.94583	74.70417	560	22	40	3	2706	6	PDH	S10	2	3
BSP80	Sirsi	14.27	74.75694	520	35	65	4	4699	6	DDD	S8	1	1
BSP82	Sirsi	14.255	74.76889	530	22	70	4	4783	6	DDD	S8	1	1
