order,famAPG,famSyn
Pinales,Abietaceae,Pinaceae
Poales,Abolbodaceae,Xyridaceae
Asterales,Abrophyllaceae,Rousseaceae
Fabales,Acaciaceae,Fabaceae
Malpighiales,Acalyphaceae,Euphorbiaceae
Lamiales,Acanthaceae,Acanthaceae
Pandanales,Acanthochlamydaceae,Velloziaceae
Asterales,Acarnaceae,Asteraceae
Sapindales,Aceraceae,Sapindaceae
Malpighiales,Achariaceae,Achariaceae
Caryophyllales,Achatocarpaceae,Achatocarpaceae
Ericales,Achradaceae,Sapotaceae
Caryophyllales,Achyranthaceae,Amaranthaceae
Cupressales,Acmopylaceae,Podocarpaceae
Ranunculales,Aconitaceae,Ranunculaceae
Acorales,Acoraceae,Acoraceae
Arecales,Acristaceae,Arecaceae
Polypodiales,Acrostichaceae,Pteridaceae
Ranunculales,Actaeaceae,Ranunculaceae
Ericales,Actinidiaceae,Actinidiaceae
Polypodiales,Actiniopteridaceae,Pteridaceae
Apiales,Actinotaceae,Apiaceae
Caryophyllales,Adenogrammaceae,Molluginaceae
Polypodiales,Adiantaceae,Pteridaceae
Dipsacales,Adoxaceae,Adoxaceae
Caryophyllales,Aegialitidaceae,Plumbaginaceae
Ericales,Aegicerataceae,Primulaceae
Poales,Aegilopaceae,Poaceae
Lamiales,Aeginetiaceae,Orobanchaceae
Lamiales,Aegiphilaceae,Lamiaceae
Sapindales,Aesculaceae,Sapindaceae
Berberidopsidales,Aextoxicaceae,Aextoxicaceae
Asparagales,Agapanthaceae,Amaryllidaceae
Asparagales,Agavaceae,Asparagaceae
Caryophyllales,Agdestidaceae,Phytolaccaceae
Zygophyllales,Agialidaceae,Zygophyllaceae
Rosales,Agrimoniaceae,Rosaceae
Poales,Agrostidaceae,Poaceae
Sapindales,Ailanthaceae,Simaroubaceae
Sapindales,Aitoniaceae,Meliaceae
Caryophyllales,Aizoaceae,Aizoaceae
Lamiales,Ajugaceae,Lamiaceae
Brassicales,Akaniaceae,Akaniaceae
Cornales,Alangiaceae,Cornaceae
Rosales,Alchemillaceae,Rosaceae
Caryophyllales,Aldrovandaceae,Droseraceae
Alismatales,Alismataceae,Alismataceae
Asparagales,Alliaceae,Amaryllidaceae
Caryophyllales,Allioniaceae,Nyctaginaceae
Sapindales,Allophylaceae,Sapindaceae
Ericales,Alniphyllaceae,Styracaceae
Asparagales,Aloaceae,Asphodelaceae
Poales,Alopecuraceae,Poaceae
Zingiberales,Alpiniaceae,Zingiberaceae
Asterales,Alseuosmiaceae,Alseuosmiaceae
Caryophyllales,Alsinaceae,Caryophyllaceae
Malpighiales,Alsodeiaceae,Violaceae
Cyatheales,Alsophilaceae,Cyatheaceae
Liliales,Alstroemeriaceae,Alstroemeriaceae
Saxifragales,Altingiaceae,Altingiaceae
Myrtales,Alzateaceae,Alzateaceae
Caryophyllales,Amaranthaceae,Amaranthaceae
Asparagales,Amaryllidaceae,Amaryllidaceae
Amborellales,Amborellaceae,Amborellaceae
Asterales,Ambrosiaceae,Asteraceae
Cupressales,Amentotaxaceae,Taxaceae
Myrtales,Ammanniaceae,Lythraceae
Apiales,Ammiaceae,Apiaceae
Zingiberales,Amomaceae,Zingiberaceae
Vitales,Ampelopsidaceae,Vitaceae
Santalales,Amphorogynaceae,Santalaceae
Rosales,Amygdalaceae,Rosaceae
Sapindales,Amyridaceae,Rutaceae
Caryophyllales,Anacampserotaceae,Anacampserotaceae
Sapindales,Anacardiaceae,Anacardiaceae
Ericales,Anagallidaceae,Primulaceae
Poales,Anarthriaceae,Restionaceae
Boraginales,Anchusaceae,Boraginaceae
Caryophyllales,Ancistrocladaceae,Ancistrocladaceae
Ericales,Andromedaceae,Ericaceae
Poales,Andropogonaceae,Poaceae
Malpighiales,Androstachyaceae,Picrodendraceae
Asparagales,Androsynaceae,Tecophilaeaceae
Asparagales,Anemarrhenaceae,Asparagaceae
Schizaeales,Anemiaceae,Anemiaceae
Ranunculales,Anemonaceae,Ranunculaceae
Apiales,Angelicaceae,Apiaceae
Lamiales,Angeloniaceae,Plantaginaceae
Marattiales,Angiopteridaceae,Marattiaceae
Cucurbitales,Anisophylleaceae,Anisophylleaceae
Magnoliales,Annonaceae,Annonaceae
Poales,Anomochloaceae,Poaceae
Escalloniales,Anopteraceae,Escalloniaceae
Polypodiales,Anopteridaceae,Pteridaceae
Caryophyllales,Anrederaceae,Basellaceae
Asterales,Anthemidaceae,Asteroideae
Asparagales,Anthericaceae,Asparagaceae
Santalales,Anthobolaceae,Opiliaceae
Poales,Anthoxanthaceae,Poaceae
Malpighiales,Antidesmataceae,Phyllanthaceae
Lamiales,Antirrhinaceae,Plantaginaceae
Gentianales,Antoniaceae,Loganiaceae
Polypodiales,Antrophyaceae,Pteridaceae
Gentianales,Aparinaceae,Rubiaceae
Saxifragales,Aphanopetalaceae,Aphanopetalaceae
Crossosomatales,Aphloiaceae,Aphloiaceae
Asparagales,Aphyllanthaceae,Asparagaceae
Apiales,Apiaceae,Apiaceae
Gentianales,Apocynaceae,Apocynaceae
Cucurbitales,Apodanthaceae,Apodanthaceae
Alismatales,Aponogetonaceae,Aponogetonaceae
Malpighiales,Aporusaceae,Phyllanthaceae
Asterales,Aposeridaceae,Asteraceae
Asparagales,Apostasiaceae,Orchidaceae
Santalales,Aptandraceae,Aptandraceae
Aquifoliales,Aquifoliaceae,Aquifoliaceae
Malvales,Aquilariaceae,Thymelaeaceae
Ranunculales,Aquilegiaceae,Ranunculaceae
Alismatales,Araceae,Araceae
Brassicales,Arabidaceae,Brassicaceae
Lamiales,Aragoaceae,Plantaginaceae
Apiales,Araliaceae,Araliaceae
Apiales,Aralidiaceae,Torricelliaceae
Cupressales,Araucariaceae,Araucariaceae
Ericales,Arbutaceae,Ericaceae
Cupressales,Arceuthidaceae,Cupressaceae
Santalales,Arceuthobiaceae,Santalaceae
Ericales,Arctostaphylaceae,Ericaceae
Asterales,Arctotidaceae,Asteraceae
Ericales,Ardisiaceae,Primulaceae
Arecales,Arecaceae,Arecaceae
Asterales,Argophyllaceae,Argophyllaceae
Alismatales,Arisaraceae,Araceae
Piperales,Aristolochiaceae,Aristolochiaceae
Oxalidales,Aristoteliaceae,Elaeocarpaceae
Santalales,Arjonaceae,Schoepfiaceae
Caryophyllales,Armeriaceae,Plumbaginaceae
Asterales,Artemisiaceae,Asteraceae
Cupressales,Arthrotaxidaceae,Cupressaceae
Rosales,Artocarpaceae,Moraceae
Poales,Arundinaceae,Poaceae
Poales,Arundinellaceae,Poaceae
Piperales,Asaraceae,Aristolochiaceae
Gentianales,Asclepiadaceae,Apocynaceae
Malpighiales,Ascyraceae,Hypericaceae
Fabales,Aspalathaceae,Fabaceae
Asparagales,Asparagaceae,Asparagaceae
Poales,Asperellaceae,Poaceae
Gentianales,Asperulaceae,Rubiaceae
Asparagales,Asphodelaceae,Asphodelaceae
Polypodiales-eupolypod I,Aspidiaceae,Dryopteridaceae
Asparagales,Aspidistraceae,Asparagaceae
eupolypod II,Aspleniaceae,Aspleniaceae
Asparagales,Asteliaceae,Asteliaceae
Asterales,Asteraceae,Asteraceae
Ericales,Asteranthaceae,Lecythidaceae
Caryophyllales,Asteropeiaceae,Asteropeiaceae
Fabales,Astragalaceae,Fabaceae
Brassicales,Astrocarpaceae,Resedaceae
Asterales,Athanasiaceae,Asteraceae
Laurales,Atherospermataceae,Atherospermataceae
eupolypod II,Athyriaceae,Athyriaceae
Caryophyllales,Atriplicaceae,Amaranthaceae
Solanales,Atropaceae,Solanaceae
Garryales,Aucubaceae,Garryaceae
Sapindales,Aurantiaceae,Rutaceae
Austrobaileyales,Austrobaileyaceae,Austrobaileyaceae
Cupressales,Austrotaxaceae,Taxaceae
Poales,Avenaceae,Poaceae
Oxalidales,Averrhoaceae,Oxalidaceae
Dioscoreales,Avetraceae,Dioscoreaceae
Lamiales,Avicenniaceae,Acanthaceae
Ericales,Azaleaceae,Ericaceae
Brassicales,Azimaceae,Salvadoraceae
Marsileales,Azollaceae,Salviniaceae
Zygophyllales,Balanitaceae,Zygophyllaceae
Myrtales,Baeckeaceae,Myrtaceae
Malpighiales,Balanopaceae,Balanopaceae
Santalales,Balanophoraceae,Balanophoraceae
Sapindales,Balsameaceae,Burseraceae
Ericales,Balsaminaceae,Balsaminaceae
Poales,Bambusaceae,Poaceae
Pandanales,Barbaceniaceae,Velloziaceae
Caryophyllales,Barbeuiaceae,Barbeuiaceae
Rosales,Barbeyaceae,Barbeyaceae
Nymphaeales,Barclayaceae,Nymphaeaceae
Ericales,Barringtoniaceae,Lecythidaceae
Caryophyllales,Basellaceae,Basellaceae
Brassicales,Bataceae,Bataceae
Oxalidales,Baueraceae,Cunoniaceae
Fabales,Bauhiniaceae,Fabaceae
Arecales,Baxteriaceae,Dasypogonaceae
Cucurbitales,Begoniaceae,Begoniaceae
Asparagales,Behniaceae,Asparagaceae
Oxalidales,Belangeraceae,Cunoniaceae
Lamiales,Belloniaceae,Gesneriaceae
Malpighiales,Bembiciaceae,Salicaceae
Ranunculales,Berberidaceae,Berberidaceae
Berberidopsidales,Berberidopsidaceae,Berberidopsidaceae
Malvales,Berryaceae,Malvaceae
Geraniales,Bersamaceae,Francoaceae
Malpighiales,Bertyaceae,Euphorbiaceae
Bruniales,Berzeliaceae,Bruniaceae
Lamiales,Besleriaceae,Gesneriaceae
