Name_number	Name_submitted	Overall_score	Name_matched	Name_matched_rank	Name_score	Name_matched_author	Name_matched_url	Author_matched	Author_score	Family_matched	Family_score	Name_matched_accepted_family	Genus_matched	Genus_score	Specific_epithet_matched	Specific_epithet_score	Infraspecific_rank	Infraspecific_epithet_matched	Infraspecific_epithet_score	Infraspecific_rank_2	Infraspecific_epithet_2_matched	Infraspecific_epithet_2_score	Annotations	Unmatched_terms	Taxonomic_status	Accepted_name	Accepted_name_author	Accepted_name_rank	Accepted_name_url	Accepted_name_species	Accepted_name_family	Selected	Source	Warnings	Accepted_name_lsid
0	Abola	1	Abola	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Abola					Orchidaceae	Abola	1											No opinion							true	tpl	 	
1	Acanthocladium	1	Acanthocladium	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Acanthocladium					Sematophyllaceae	Acanthocladium	1											Accepted	Acanthocladium		genus	http://www.theplantlist.org/tpl1.1/search?q=Acanthocladium		Sematophyllaceae	true	tpl	 	
2	Acanthodium	1	Acanthodium	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Acanthodium					Sematophyllaceae	Acanthodium	1											Accepted	Acanthodium		genus	http://www.theplantlist.org/tpl1.1/search?q=Acanthodium		Sematophyllaceae	true	tpl	 	
3	Acetosella	1	Acetosella	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Acetosella;					Polygonaceae	Acetosella	1											No opinion				;			true	tpl;usda	 [Ambiguous match] 	
4	Acosta	1	Acosta	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Acosta					Hypnaceae	Acosta	1											Accepted	Acosta		genus	http://www.theplantlist.org/tpl1.1/search?q=Acosta		Hypnaceae	true	tpl	 	
5	Adelia	1	Adelia	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Adelia					Euphorbiaceae	Adelia	1											Accepted	Adelia		genus	http://www.theplantlist.org/tpl1.1/search?q=Adelia		Euphorbiaceae	true	tpl	 	
6	Aikinia	1	Aikinia	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Aikinia					Gesneriaceae	Aikinia	1											No opinion							true	tpl	 [Ambiguous match] 	
7	Allenia	1	Allenia	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Allenia					Malvaceae	Allenia	1											No opinion							true	tpl	 [Ambiguous match] 	
8	Alliaria	1	Alliaria	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Alliaria					Brassicaceae	Alliaria	1											Accepted	Alliaria		genus	http://www.theplantlist.org/tpl1.1/search?q=Alliaria		Brassicaceae	true	tpl	 	
9	Amblytropis	1	Amblytropis	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Amblytropis					Daltoniaceae	Amblytropis	1											Accepted	Amblytropis		genus	http://www.theplantlist.org/tpl1.1/search?q=Amblytropis		Daltoniaceae	true	tpl	 [Ambiguous match] 	
10	Anacampseros	1	Anacampseros	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Anacampseros					Anacampserotaceae	Anacampseros	1											Accepted	Anacampseros		genus	http://www.theplantlist.org/tpl1.1/search?q=Anacampseros		Anacampserotaceae	true	tpl	 	
11	Aromadendron	1	Aromadendron	genus	1		http://www.theplantlist.org/tpl1.1/search?q=Aromadendron					Magnoliaceae	Aromadendron	1											No opinion							true	tpl	 	
