family,genus
Orchidaceae,Aa
Euphorbiaceae,Aalius
Compositae,Aaronsohnia
Thelypteridaceae,Abacopteris
Fabaceae,Abacosa
Fabaceae,Abarema
Compositae,Abasoloa
Salicaceae,Abatia
Fabaceae,Abauria
Myrtaceae,Abbevillea
Rubiaceae,Abbottia
Orchidaceae,Abdominea
Cruciferae,Abdra
Lecythidaceae,Abdulmajidia
Sapotaceae,Abebaia
Caprifoliaceae,Abelia
Ulmaceae,Abelicea
Oleaceae,Abeliophyllum
Malvaceae,Abelmoschus
Annonaceae,Aberemoa
Salicaceae,Aberia
Pinaceae,Abies
Thuidiaceae,Abietinella
Cyperaceae,Abildgaardia
Cucurbitaceae,Abobra
Orchidaceae,Abola
Xyridaceae,Abolboda
Urticaceae,Aboriella
Malvaceae,Abortopetalum
Anacardiaceae,Abrahamia
Rubiaceae,Abramsia
Hymenophyllaceae,Abrodictyum
Malvaceae,Abroma
Primulaceae,Abromeitia
Bromeliaceae,Abromeitiella
Nyctaginaceae,Abronia
Rousseaceae,Abrophyllum
Compositae,Abrotanella
Fabaceae,Abrus
Compositae,Absinthium
Apocynaceae,Absolmsia
Menispermaceae,Abuta
Malvaceae,Abutilon
Malvaceae,Abutilothamnus
Gnetaceae,Abutua
Orchidaceae,Acacallis
Cruciferae,Acachmena
Fabaceae,Acacia
Fabaceae,Acaciella
Fabaceae,Acaciopsis
Rosaceae,Acaena
Euphorbiaceae,Acalypha
Euphorbiaceae,Acalyphes
Euphorbiaceae,Acalyphopsis
Orchidaceae,Acampe
Gramineae,Acamptoclados
Compositae,Acamptopappus
Cactaceae,Acanthanthus
Fabaceae,Acantharia
Melastomataceae,Acanthella
Orchidaceae,Acanthephippium
Moraceae,Acanthinophyllum
Fabaceae,Acanthobotrya
Cactaceae,Acanthocalycium
Caprifoliaceae,Acanthocalyx
Cruciferae,Acanthocardamum
Asparagaceae,Acanthocarpus
Euphorbiaceae,Acanthocaulon
Cactaceae,Acanthocephala
Compositae,Acanthocephalus
Cactaceae,Acanthocereus
Amaranthaceae,Acanthochiton
Velloziaceae,Acanthochlamys
Sematophyllaceae,Acanthocladiella
Compositae,Acanthocladium
Polygalaceae,Acanthocladus
Palmae,Acanthococos
Lejeuneaceae,Acanthocoleus
Compositae,Acanthodesmos
Acanthaceae,Acanthodium
Polemoniaceae,Acanthogilia
Orchidaceae,Acanthoglossum
Polygonaceae,Acanthogonum
Lejeuneaceae,Acantholejeunea
Compositae,Acantholepis
Plumbaginaceae,Acantholimon
Verbenaceae,Acantholippia
Cactaceae,Acantholobivia
Euphorbiaceae,Acantholoma
Lamiaceae,Acanthomintha
Gesneriaceae,Acanthonema
Acanthaceae,Acanthopale
Araliaceae,Acanthopanax
Cactaceae,Acanthopetalus
Fabaceae,Acanthophaca
Orchidaceae,Acanthophippium
Arecaceae,Acanthophoenix
Araliaceae,Acanthophora
Caryophyllaceae,Acanthophyllum
Lamiaceae,Acanthoprasium
Acanthaceae,Acanthopsis
Fabaceae,Acanthopteron
