"num","smthg","genus","Author","numAgain","family"
24904,NA,"Acanthodium","Delile",8834,"Acanthaceae"
8801,NA,"Acanthopale","C.B.Clarke",NA,"Acanthaceae"
8802,NA,"Acanthopsis","Harv.",NA,"Acanthaceae"
15961,NA,"Acanthostelma","Bidgood & Brummitt",NA,"Acanthaceae"
8803,NA,"Acanthura","Lindau",NA,"Acanthaceae"
8804,NA,"Acanthus","L.",NA,"Acanthaceae"
20529,NA,"Acelica","Rizzini",8942,"Acanthaceae"
8805,NA,"Achyrocalyx","Benoist",NA,"Acanthaceae"
25483,NA,"Adelaster","Lindl. ex Veitch",8908,"Acanthaceae"
8806,NA,"Adenacanthus","Nees",9075,"Acanthaceae"
8807,NA,"Adenostachya","Bremek.",9075,"Acanthaceae"
16180,NA,"Adhatoda","Mill.",8942,"Acanthaceae"
8808,NA,"Aechmanthera","Nees",NA,"Acanthaceae"
8809,NA,"Afrofittonia","Lindau",NA,"Acanthaceae"
15974,NA,"Afromendoncia","Gilg ex Lindau",8972,"Acanthaceae"
24940,NA,"Amathea","Raf.",8822,"Acanthaceae"
8810,NA,"Ambongia","Benoist",NA,"Acanthaceae"
24906,NA,"Amphiestes","S.Moore",8935,"Acanthaceae"
20530,NA,"Amphiscopia","Nees",8942,"Acanthaceae"
20539,NA,"Ancalanthus","Balf.f.",8815,"Acanthaceae"
8811,NA,"Ancistranthus","Lindau",NA,"Acanthaceae"
8812,NA,"Ancylacanthus","Lindau",9028,"Acanthaceae"
8813,NA,"Androcentrum","Lem.",8838,"Acanthaceae"
8814,NA,"Andrographis","Wall. ex Nees",NA,"Acanthaceae"
8815,NA,"Angkalanthus","Balf.f.",NA,"Acanthaceae"
8816,NA,"Anisacanthus","Nees",NA,"Acanthaceae"
8817,NA,"Anisosepalum","E.Hossain",NA,"Acanthaceae"
20531,NA,"Anisostachya","Nees",8942,"Acanthaceae"
8818,NA,"Anisotes","Nees",NA,"Acanthaceae"
8819,NA,"Anomacanthus","R.D.Good",NA,"Acanthaceae"
8820,NA,"Anthacanthus","Nees",NA,"Acanthaceae"
20519,NA,"Antheliacanthus","Ridl.",9020,"Acanthaceae"
8821,NA,"Apassalus","Kobuski",NA,"Acanthaceae"
20518,NA,"Aphanandrium","Lindau",8982,"Acanthaceae"
22324,NA,"Aphanosperma","T.F.Daniel",NA,"Acanthaceae"
8822,NA,"Aphelandra","R.Br.",NA,"Acanthaceae"
8823,NA,"Aphelandrella","Mildbr.",NA,"Acanthaceae"
