plot,xRel,yRel,D,WD,H
NB1,1.3,4.7,11.4591559026165,0.642510139437562,12
NB1,2.65,4.3,11.6183108457084,0.5796,16
NB1,4.2,6.9,83.8746550094289,0.5912,40
NB1,5.9,4.7,14.9605646506382,0.568211290322581,18
NB1,6.4,4.1,36.7647918542278,0.529666666666667,27
NB1,13.5,2.3,13.5281701628111,0.409,20
NB1,15.4,1.9,17.8253536262923,0.31,24
NB1,15.9,0.7,17.8253536262923,0.88,21
NB1,15.2,6.2,15.9154943091895,0.529666666666667,22
NB1,19.4,7.9,17.8253536262923,0.5796,24
NB1,17.5,19.5,11.7774657888003,0.578086944444444,18
NB1,15.6,18.4,16.3929591384652,0.393621212121212,19
NB1,9.8,19.2,11.4591559026165,0.609456770833333,14
NB1,9.5,18.1,20.5309876588545,0.6815,23
NB1,11.7,14.5,16.5521140815571,0.578086944444444,20
NB1,9.1,13.8,11.4591559026165,0.578086944444444,18
NB1,6.4,11.2,11.1408460164327,0.819962424242424,15
NB1,4.7,16,31.0352139029196,0.642510139437562,28
NB1,4,16,11.4591559026165,0.793401515151515,18
NB1,6.3,16.5,13.687325105903,0.578086944444444,23
NB1,6.2,17.5,28.3295798703574,0.5912,27
NB1,0.85,23,29.2845095289087,0.8,26
NB1,2.3,24.2,11.1408460164327,0.642510139437562,13
NB1,1.7,27.2,54.1126806512444,0.642510139437562,33
NB1,0.35,29.4,11.7774657888003,0.656777272727273,8
NB1,1.9,34.6,10.1859163578813,0.814828571428572,11
NB1,0.5,38.9,11.7774657888003,0.458531818181818,15
NB1,0,37,14.6422547644544,0.539081638418079,16
NB1,2.9,31.9,25.1464810085195,0.5912,26
NB1,2.9,29,10.9816910733408,0.8,12
NB1,6.1,28.5,16.2338041953733,0.642510139437562,18
NB1,6.5,23.9,11.9366207318922,0.851,21
NB1,10.3,23.6,26.1014106670708,0.848593137254902,22
NB1,13.1,23.9,12.7323954473516,0.642510139437562,13
NB1,9.9,28.9,18.4619733986599,0.642510139437562,20
NB1,10.7,34.7,12.8915503904435,0.644092948717949,13
NB1,14.3,27.6,25.6239458377952,0.65,23
